# EIA coal and gas installed capacity and generation by U.S. state for the year 2010,,,
# Capacity unit: GW,,,
# Generation unit: GWh,,,
region,fuel,capacity,generation
AK,coal,0.116,620.443
AL,coal,12.677,63050.411
AR,coal,4.678,28152.445
AZ,coal,6.761,43643.807
CA,coal,0.423,2100.221
CO,coal,6.229,34559.29
CT,coal,0.614,2604.399
DC,coal,0,0
DE,coal,1.052,2568.37
FL,coal,11.055,59897.433
GA,coal,14.441,73298.042
HI,coal,0.203,1545.513
IA,coal,7.448,41282.937
ID,coal,0.019,88.278
IL,coal,17.266,93611.365
IN,coal,21.117,112327.658
KS,coal,5.472,32505.053
KY,coal,17.118,91053.858
LA,coal,3.764,23923.749
MA,coal,1.702,8305.89
MD,coal,5.236,23668.205
ME,coal,0.103,87.193
MI,coal,12.715,65604.374
MN,coal,5.293,28082.55
MO,coal,12.718,75047.229
MS,coal,2.888,13628.997
MT,coal,2.657,18600.634
NC,coal,13.021,71951.214
ND,coal,4.246,28462.04
NE,coal,4.021,23362.776
NH,coal,0.559,3082.643
NJ,coal,2.213,6417.891
NM,coal,4.375,25617.789
NV,coal,3.082,6997.302
NY,coal,2.901,13582.766
OH,coal,22.838,117828.009
OK,coal,5.72,31475.137
OR,coal,0.601,4126.435
PA,coal,20.16,110369.292
RI,coal,0,0
SC,coal,7.712,37671.118
SD,coal,0.481,3298.256
TN,coal,10.251,43670.196
TX,coal,23.551,150172.832
UT,coal,5.036,34057.265
VA,coal,6.292,25459.221
VT,coal,0,0
WA,coal,1.46,8526.933
WI,coal,8.263,40168.733
WV,coal,15.372,78147.563
WY,coal,6.379,42986.523
AK,gas,0.959,3750.024
AL,gas,13.276,39235.017
AR,gas,8.948,12469.077
AZ,gas,15.446,29675.942
CA,gas,45.652,107522.313
CO,gas,6.624,11062.275
CT,gas,2.637,11715.672
DC,gas,0,0
DE,gas,1.554,2864.983
FL,gas,37.198,128634.251
GA,gas,14.354,23884.457
HI,gas,0,0
IA,gas,2.692,1312.195
ID,gas,0.934,1689.232
IL,gas,16.832,5723.733
IN,gas,6.796,6474.986
KS,gas,5.16,2287.323
KY,gas,6.161,1840.708
LA,gas,23.197,51344.079
MA,gas,7.435,25581.752
MD,gas,2.369,2896.979
ME,gas,1.824,8373.606
MI,gas,12.237,12249.262
MN,gas,5.857,4340.847
MO,gas,6.614,4689.867
MS,gas,13.048,29618.922
MT,gas,0.313,57.112
NC,gas,8.399,8447.237
ND,gas,0.015,16.353
NE,gas,2.08,375.035
NH,gas,1.521,5364.836
NJ,gas,11.616,24902.23
NM,gas,3.8,8512.083
NV,gas,8.375,23688.192
NY,gas,19.48,48915.545
OH,gas,9.389,7127.859
OK,gas,14.61,33941.682
OR,gas,3.594,15651.176
PA,gas,10.823,33717.608
RI,gas,1.974,7583.281
SC,gas,6.562,10927.237
SD,gas,0.805,134.706
TN,gas,5.384,2302.384
TX,gas,77.245,186882.238
UT,gas,2.253,6455.396
VA,gas,8.5,16999.125
VT,gas,0,3.783
WA,gas,4.39,10359.235
WI,gas,6.922,5496.814
WV,gas,1.205,139.601
WY,gas,0.156,458.983
