# Shale gas production; Units: MMcf,,,,,,
"# Source:  ""AEO2014 Market Trends - Figure data - May 7, 2014”, https://www.eia.gov/dnav/ng/ng_prod_sum_a_EPG0_FGW_mmcf_a.htm",,,,,,
region,2007,2008,2009,2010,2011,2012
US (Agg),1293000,2116000,3110000,5336000,7994000,10371000
AL,0,0,0,0,0,0
AK,0,0,0,0,0,0
AR,94000,279000,527000,794000,940000,1027000
CA,0,0,0,0,101000,90000
CO,0,0,1000,1000,3000,9000
KY,2000,2000,5000,4000,4000,4000
LA,1000,23000,293000,1232000,2084000,2204000
MI,148000,122000,132000,120000,106000,108000
MT,12000,13000,7000,13000,13000,16000
NM,2000,0,2000,6000,9000,13000
ND,3000,3000,25000,64000,95000,203000
OH,0,0,0,0,0,0
OK,40000,168000,249000,403000,476000,637000
PA,1000,1000,65000,396000,1068000,2036000
TX,988000,1503000,1789000,2218000,2900000,3649000
WV,0,0,11000,80000,192000,345000
WY,0,0,0,0,0,7000
